GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
WHO_REGIONS,SEAR,South-East Asia Region,2017,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,30162575,24647238,82
WHO_REGIONS,WPR,Western Pacific Region,2017,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,30266449,26660347,88
WHO_REGIONS,AFR,African Region,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,33198946,7311437,22
WHO_REGIONS,EMR,Eastern Mediterranean Region,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,18460573,13481623,73
WHO_REGIONS,EUR,European Region,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11110992,9813342,88
WHO_REGIONS,AMR,Region of the Americas,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,14845558,11861831,80
WHO_REGIONS,SEAR,South-East Asia Region,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,30509926,23764254,78
WHO_REGIONS,WPR,Western Pacific Region,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,30527466,26514752,87
WHO_REGIONS,AFR,African Region,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,32631275,5492989,17
WHO_REGIONS,EMR,Eastern Mediterranean Region,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,18283434,12348730,68
WHO_REGIONS,EUR,European Region,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11061994,9861596,89
WHO_REGIONS,AMR,Region of the Americas,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,14873194,11541943,78
WHO_REGIONS,SEAR,South-East Asia Region,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,31143519,22169713,71
WHO_REGIONS,WPR,Western Pacific Region,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,30695155,25356721,83
WHO_REGIONS,AFR,African Region,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,32105863,3247222,10
WHO_REGIONS,EMR,Eastern Mediterranean Region,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,17988159,11385019,63
WHO_REGIONS,EUR,European Region,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10889609,9732752,89
WHO_REGIONS,AMR,Region of the Americas,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,14941621,11720968,78
WHO_REGIONS,SEAR,South-East Asia Region,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,31426514,20060554,64
WHO_REGIONS,WPR,Western Pacific Region,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,30432004,24918039,82
WHO_REGIONS,AFR,African Region,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,31531240,2056543,7
WHO_REGIONS,EMR,Eastern Mediterranean Region,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,17587465,10321907,59
WHO_REGIONS,EUR,European Region,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10656842,9528931,89
WHO_REGIONS,AMR,Region of the Americas,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,15152137,10596880,70
WHO_REGIONS,SEAR,South-East Asia Region,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,31635138,17674795,56
WHO_REGIONS,WPR,Western Pacific Region,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,29709572,26322426,89
WHO_REGIONS,AFR,African Region,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,30887393,1779618,6
WHO_REGIONS,EMR,Eastern Mediterranean Region,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,17238716,9536204,55
WHO_REGIONS,EUR,European Region,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10522379,8740706,83
WHO_REGIONS,AMR,Region of the Americas,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,15101027,11045909,73
WHO_REGIONS,SEAR,South-East Asia Region,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,31931539,12639299,40
WHO_REGIONS,WPR,Western Pacific Region,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,29693876,26038865,88
Exported: 2026-5-1 14:21 UTC,,,,,,,,,,
